n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,kl-d,p_clean,p_att,d2original,exp_util,seconds
0,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['left', 'organization', 'expected', 'american', 'country', 'released', 'deal', 'news', 'among', 'president', 'near', 'prices', 'korea', ',', 'president', 'oil', 'mr.', ',', 'iranian', 'economic', 'forces', 'korea', 'britain', 'north', 'reported', ""'s"", 'tuesday', 'blast', ')', '$']",2.9488269506844267,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[1.28845466e-04 9.35062278e-03 5.68661496e-03 4.08389862e-04
 2.15665271e-05 5.30891908e-03 3.37478312e-04 9.57845609e-04
 6.84973140e-03 1.66971354e-04 1.08425183e-04 1.30797964e-04
 6.92007115e-04 9.10599042e-01 1.68855317e-02 5.84253215e-04
 2.79584476e-02 1.64202510e-03 5.49982735e-05 1.38768171e-03
 1.01320822e-04 1.96503865e-04 3.78778000e-04 1.52789050e-03
 3.31107023e-04 1.39578016e-03 1.30474982e-03 1.26196059e-03
 4.24171449e-03]",0.26666666666666666,43.94881233321284,1500
1,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['many', 'war', 'prime', 'countries', 'official', '""', 'state', 'high', 'president', 'last', 'town', 'hamas', 'chavez', 'say', 'british', ',', 'take', 'several', 'newspaper', 'israel', 'north', 'korea', 'recent', 'country', 'korea', 'men', 'militants', 'minister', 'mr.', 'bush']",3.9743065172655174,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[3.69500086e-05 7.15094710e-03 8.51254863e-01 3.11514101e-04
 6.11959843e-06 8.20404101e-04 5.60702801e-05 2.40087252e-04
 1.88830493e-02 1.48073755e-05 3.18284013e-05 1.25012190e-04
 9.24918940e-04 4.46819089e-02 4.36667001e-03 1.29233219e-04
 1.66351778e-03 9.34648214e-04 1.27203099e-05 5.76598023e-04
 2.46318260e-05 2.03663438e-05 7.48704578e-04 5.13254213e-03
 7.60298228e-04 1.95443599e-03 1.24898639e-03 7.07774987e-04
 5.71803915e-02]",0.16666666666666666,29.974259419682515,1500
2,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'spokesman', 'union', '.', ',', '%', 'talks', 'NUM-year-old', 'among', 'workers', ')', 'prices', ""'"", 'media', 'may', ',', 'government', 'elections', 'china', 'war', 'north', 'NUM', 'president', 'began', 'nato', 'party', 'nuclear', 'groups', 'indian', 'power']",5.758105213060893,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[1.61176793e-04 8.80704083e-01 2.88892673e-04 1.19417773e-04
 1.83632572e-02 1.63776432e-04 1.93779164e-04 1.63819028e-04
 5.64054441e-04 1.38989060e-04 1.53825801e-04 7.18678703e-05
 1.29101799e-04 3.85731392e-04 4.64741635e-04 1.02444667e-04
 1.50571064e-04 7.49466416e-04 2.37559071e-04 2.69670708e-04
 3.91215680e-04 2.68086217e-04 1.62614082e-04 5.83700591e-04
 1.45408253e-04 1.55581869e-04 1.74456942e-04 1.63060546e-04
 9.43796498e-02]",0.2,36.757711706436595,1500
3,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['security', 'weapons', 'among', 'capital', 'forces', 'darfur', 'arrested', 'israeli', 'area', 'china', ',', 'secretary', 'seven', ',', 'parliament', 'saying', 'al-qaida', 'united', 'work', 'wounded', 'region', 'recent', 'recent', 'deal', 'rebels', 'blast', 'militants', 'police', 'say', 'billion']",2.274575499925562,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[6.23308720e-04 2.86540463e-02 1.93323881e-02 6.93915798e-04
 5.84699977e-05 1.09987337e-02 3.79280754e-04 3.20675775e-03
 1.97685257e-02 3.57654231e-04 4.39890055e-04 5.60373048e-04
 1.71273708e-03 3.06926684e-02 3.95951866e-02 1.33223793e-03
 7.88513080e-01 1.02496874e-02 1.26995920e-04 2.87565916e-03
 5.48628952e-04 4.73634386e-04 2.29110831e-03 1.12981550e-02
 1.69086554e-03 5.56446002e-03 1.26063307e-03 7.35869678e-03
 9.34222121e-03]",0.13333333333333333,23.274395044264605,1500
4,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['could', ',', 'russia', 'authorities', '.', 'group', 'talks', 'local', 'among', 'many', ',', 'afghan', 'energy', ',', 'arrested', 'nations', 'pakistani', 'soldiers', 'late', 'leaders', 'nato', 'last', 'opposition', 'national', 'death', 'american', 'NUMth', 'visit', 'news', 'later']",4.174272399266306,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[7.23927783e-05 2.56204600e-03 9.70534707e-01 7.39127782e-05
 2.48150986e-06 1.30338718e-03 1.17404629e-04 5.03260098e-04
 4.73151334e-03 6.13619869e-05 7.32626388e-05 3.04439149e-05
 2.57388337e-04 3.79699397e-03 3.11569656e-03 6.57355665e-05
 1.44993837e-03 1.08384207e-03 6.54689551e-05 5.22795030e-04
 3.25863032e-04 5.74242993e-05 4.76849402e-04 1.68490021e-03
 3.46681170e-04 1.99404752e-03 3.24213562e-03 2.29549386e-04
 1.21851671e-03]",0.13333333333333333,25.17507014565923,1500
8,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['accused', 'wednesday', 'meet', 'bank', ""'s"", '""', 'fire', '%', 'since', 'came', ',', 'south', 'taleban', 'charges', 'economic', 'economy', 'states', 'union', 'high', 'wounded', 'early', 'blast', 'british', 'africa', 'monday', 'african', 'nuclear', 'help', 'russian', 'countries']",5.386898862382881,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[1.08502752e-05 2.66758616e-03 2.24587029e-01 8.85999580e-05
 2.22657979e-06 2.71307345e-04 1.52751017e-05 6.13804704e-05
 5.44118379e-04 3.41669694e-06 7.67336388e-06 4.83405013e-05
 2.39799743e-04 1.40508938e-03 1.54337583e-03 2.09896270e-04
 5.77529891e-04 7.28792752e-01 1.20086816e-03 1.04984819e-04
 6.39036230e-06 6.89474985e-06 1.76147322e-04 1.41987218e-03
 1.62652978e-04 2.35512706e-04 4.44992975e-05 6.52864924e-03
 2.90372808e-02]",0.1,21.38690547342569,1500
5,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['meet', 'terrorist', '-', '""', 'iraq', 'war', 'american', 'bird', 'union', 'nuclear', 'top', 'six', 'economy', 'iranian', 'released', 'western', 'following', ',', 'oil', 'south', 'russian', 'help', 'wednesday', 'washington', 'people', 'pakistan', 'office', 'among', 'end', '.']",2.4427798172589563,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[3.02561035e-04 3.08449505e-02 1.67379400e-02 1.49651876e-03
 2.85825726e-05 6.56981793e-03 9.34426135e-04 1.51276258e-03
 3.49668828e-02 3.48614543e-04 2.22530395e-04 5.47542993e-04
 2.62235919e-03 3.05210987e-02 7.76745102e-01 3.33148012e-04
 8.24040746e-03 3.87700207e-03 5.87146922e-04 1.43501201e-03
 1.26278476e-03 6.41596165e-04 5.01196746e-03 1.00273956e-02
 1.09923458e-03 2.97930189e-03 8.62622462e-04 2.39498580e-03
 5.68457047e-02]",0.06666666666666667,13.442817585964649,1500
9,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['.', 'sunday', 'among', 'human', ',', 'came', 'meeting', '(', 'coalition', 'united', 'city', 'killed', 'korea', 'national', 'rebels', ',', 'charges', ',', 'nations', 'province', 'public', 'NUM-year-old', 'billion', 'says', 'rights', 'could', 'detained', 'saturday', 'agency', 'province']",5.502217750824828,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[1.30947183e-05 9.88441378e-01 6.24795021e-04 2.76352203e-05
 2.65299757e-03 3.03357218e-04 1.55821025e-05 7.60599219e-05
 5.17905595e-04 1.39657671e-05 1.16400687e-05 1.43783385e-05
 3.20844453e-05 2.53156543e-03 1.73400786e-03 4.06291158e-05
 1.57131445e-03 1.53368886e-04 6.27357524e-06 1.57623075e-04
 8.87303925e-06 2.62976901e-05 3.37411534e-05 1.37837711e-04
 3.19427608e-05 9.92091901e-05 5.69469229e-05 6.81027933e-05
 5.97392666e-04]",0.16666666666666666,31.50249966202598,1500
6,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['meeting', '.', 'january', 'death', 'minister', 'take', 'southern', 'taleban', 'local', 'opposition', 'place', 'health', 'nearly', 'support', 'chinese', 'NUM-year-old', 'blast', 'african', 'united', 'japan', 'first', 'israel', 'russia', 'plans', 'nearly', 'others', '.', 'force', 'meet', 'south']",2.3796968216499415,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[3.28534764e-04 2.03650619e-02 1.49503901e-02 6.43696921e-04
 3.58080219e-05 6.60354307e-03 3.81067022e-04 1.23492166e-03
 9.12020994e-03 9.01134173e-05 2.27531419e-04 2.35198738e-04
 1.07121626e-02 3.37718598e-01 5.12674098e-01 8.41619450e-04
 1.70446339e-02 5.16591201e-03 8.80186505e-05 3.46911906e-03
 1.71395081e-04 4.42056787e-04 2.38386889e-03 6.32545675e-03
 1.70112068e-03 6.51550807e-03 1.33641244e-03 6.88755204e-03
 3.23063908e-02]",0.03333333333333333,8.379265451759839,1500
7,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['report', 'several', 'among', 'former', ',', 'military', 'four', 'country', 'man', 'thousands', 'rebels', 'NUMth', 'al-qaida', 'months', 'foreign', 'organization', 'earlier', ',', 'united', 'states', 'north', 'korea', 'national', 'human', 'korea', 'one', 'elections', 'african', ')', 'detained']",5.031409321957657,"[1.88455612e-03 4.93927844e-02 2.63316587e-02 1.61259943e-03
 9.23459953e-05 4.83972357e-01 1.67487896e-03 8.55984454e-03
 6.86581241e-02 1.03484642e-03 1.76097860e-03 8.17082203e-04
 4.26442988e-03 6.65815386e-02 6.83473217e-02 1.29015509e-03
 3.11439419e-02 1.66021126e-02 8.91560412e-04 9.27760477e-03
 3.84478165e-03 1.10930151e-03 7.61171117e-03 2.95906993e-02
 5.96832199e-03 3.23813792e-02 4.37955948e-02 5.02768554e-03
 2.64798030e-02]","[1.21921459e-05 9.87745041e-01 2.56536848e-04 3.59406182e-05
 1.05011514e-03 5.56995973e-04 2.96927169e-05 1.75344452e-04
 1.53817299e-03 1.47872157e-05 1.22493811e-05 1.68569979e-05
 7.76292379e-05 3.26126952e-03 1.45565538e-03 2.66794110e-05
 1.83043278e-03 3.05408076e-04 6.43161284e-05 8.68365185e-05
 4.11124936e-05 2.06278890e-05 9.61558474e-05 2.30989052e-04
 7.33337504e-05 2.98672412e-04 1.16339085e-04 1.35115112e-04
 4.35502036e-04]",0.26666666666666666,46.031271003733885,1500
