n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
0,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['southern', 'said', ',', 'energy', 'help', '""', 'west', 'growth', 'southern', 'make', 'people', 'power', 'city', 'work', 'nations', 'area', 'russia', 'economy', 'indian', 'states', 'parliament', 'united', 'human', 'flu', 'union', 'border', 'work', 'least', ')', 'mr.']",0.06834732172362554,0.004524263759387603,0.13333333333333333,21.995471938104835,1500
1,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['released', 'another', 'also', 'reported', 'killed', 'police', 'force', '(', 'police', 'held', 'parliament', 'south', 'united', 'leaders', 'also', 'meet', 'russia', 'month', '(', 'western', 'major', 'korea', 'korea', 'north', 'spokesman', 'iraqi', 'iranian', 'palestinian', ')', 'palestinian']",0.06834732172362554,0.023132795484272686,0.2,31.97687029847983,1500
2,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'called', 'house', 'countries', 'released', 'party', 'may', 'force', 'suspected', 'saturday', ',', 'support', 'insurgents', 'months', 'japan', ',', 'two', 'indian', 'united', 'islamic', 'food', 'said', 'following', 'coalition', 'border', 'weapons', 'part', 'indian', ')', 'organization']",0.06834732172362554,0.03216923477958507,0.26666666666666666,41.96782552518103,1500
3,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['NUM', 'would', 'forces', 'muslim', 'flu', 'attacks', 'meeting', '(', '$', 'weeks', ',', 'south', 'NUM-year-old', ',', 'world', ',', 'south', 'area', 'members', 'states', 'north', 'korea', 'fire', 'north', 'pakistan', 'announced', 'nuclear', 'program', 'spokesman', 'may']",0.06834732172362554,0.064646485896281,0.36666666666666664,56.93538017442832,1500
4,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'prices', 'NUM.NUM', 'rights', 'make', 'thousands', 'following', 'among', 'hit', 'program', 'group', 'area', 'three', 'japan', 'work', 'plans', 'secretary', 'foreign', 'years', 'one', 'take', 'palestinian', 'chavez', 'began', 'man', 'days', 'program', ')', '.']",0.06834732172362554,0.03249493465379706,0.23333333333333334,36.96749741576952,1500
8,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['several', 'taleban', 'defense', 'reporters', 'britain', 'top', 'months', 'militants', 'russia', 'months', 'sunday', 'blast', 'one', 'charges', 'six', 'capital', 'russia', 'last', 'terrorist', 'city', '$', 'former', 'saying', 'north', 'korea', 'officials', 'nuclear', 'early', 'later', 'billion']",0.06834732172362554,0.46874640219715175,0.13333333333333333,21.531317200269257,1500
5,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['opposition', 'said', 'among', 'nearly', 'border', 'party', 'part', '(', 'rights', 'elections', 'countries', 'country', 'sunday', 'french', 'japan', 'rebels', 'used', 'told', 'india', 'venezuela', 'meet', 'car', 'came', 'told', 'militant', 'NUM,NUM', 'nuclear', 'program', 'blast', 'workers']",0.06834732172362554,0.05689126675523322,0.23333333333333334,36.94311057098525,1500
9,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'control', 'among', 'saying', 'deal', 'local', 'NUM,NUM,NUM', '%', 'major', 'set', 'car', 'nations', 'baghdad', 'attacks', 'month', 'second', 'russia', 'told', 'year', 'al-qaida', 'fighting', 'agency', 'militant', 'al-qaida', 'later', 'least', 'says', 'rebels', 'meet', 'statement']",0.06834732172362554,0.06325188053348929,0.1,16.936756919981093,1500
6,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['next', 'turkey', 'taleban', '-', 'six', 'military', 'another', 'pakistan', 'u.n.', 'agreement', 'time', 'suicide', 'months', 'rebels', 'news', '%', 'russia', 'number', 'washington', 'early', 'place', 'national', 'high', 'u.s.', 'korea', 'states', 'one', 'parliament', 'flu', 'attacks']",0.06834732172362554,0.02172550738521193,0.1,16.978272024900008,1500
7,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'work', 'central', 'countries', 'earlier', 'car', 'talks', '(', 'wednesday', 'china', 'president', 'arrested', 'place', ""'"", 'french', 'others', 'party', 'past', 'second', 'saturday', 'prime', 'western', 'day', 'north', 'rights', 'palestinian', 'eastern', 'afghanistan', 'opposition', '.']",0.06834732172362554,0.009438708361139055,0.23333333333333334,36.99056339244733,1500
