n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
0,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['president', 'one', 'among', 'nation', 'darfur', 'global', 'u.s.', 'left', 'vote', 'meanwhile', 'court', 'saturday', 'baghdad', 'major', 'afghanistan', 'began', 'china', 'thousands', 'south', 'union', '.', 'statement', 'mr.', 'may', 'workers', 'u.n.', 'later', 'statement', 'man', 'said']",0.06834732172362748,0.47861293165652763,0.03333333333333333,4.957186367015643,1500
1,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['former', 'week', 'set', 'wednesday', 'prime', 'fire', 'flu', 'russia', 'election', 'government', 'african', 'leader', 'thousands', 'fire', 'countries', 'reports', 'military', 'turkey', 'home', 'last', 'northern', 'american', 'monday', 'told', 'new', 'two', 'report', 'meeting', 'died', 'reported']",0.06834732172362748,0.6014855903348092,0.0,4.202997620500354,1500
2,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['among', 'global', 'deal', 'vote', 'muslim', 'dead', 'capital', 'still', 'second', 'work', ',', 'force', 'chinese', 'food', 'city', 'u.s.', 'insurgents', 'hit', 'nuclear', 'general', 'u.s.', 'met', 'mr.', 'leader', 'talks', 'january', 'japan', 'released', 'NUM,NUM,NUM', '.']",0.06834732172362748,0.39498471321800127,0.06666666666666667,5.7899082491681595,1500
3,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['NUM.NUM', 'top', 'international', 'countries', 'union', ""'s"", 'used', 'northern', 'soldiers', 'china', 'british', 'india', 'three', 'tehran', 'world', 'india', 'western', 'week', 'people', 'left', 'border', '""', 'office', 'recent', 'south', 'people', 'province', ""'s"", 'indian', 'minister']",0.06834732172362748,0.8277858274194981,0.06666666666666667,6.655588571712625,1500
4,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['following', 'u.n.', 'saying', 'new', 'secretary', 'could', 'international', 'tuesday', 'others', 'top', ',', 'one', 'world', 'global', 'government', 'home', 'eastern', 'chinese', 'nation', 'killed', 'economy', '%', 'virus', 'years', 'attack', 'public', 'weeks', 'end', 'palestinian', 'work']",0.06834732172362748,0.47206965204475126,0.03333333333333333,4.94423181381811,1500
5,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['second', '.', 'monday', 'bird', 'muslim', 'time', 'foreign', 'darfur', 'eu', 'china', 'would', 'six', 'korea', 'month', 'many', 'visit', 'office', 'first', 'top', 'early', 'reported', 'NUM,NUM', 'agreement', 'north', 'troops', ""'s"", 'nation', 'program', 'virus', 'company']",0.06834732172362748,0.38338554459682583,0.16666666666666666,8.76680701254522,1500
6,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['national', 'rights', 'could', 'six', 'muslim', ""'s"", 'presidential', 'among', 'troops', 'used', 'countries', 'death', 'chief', 'million', 'militants', 'called', 'israel', 'aid', 'month', 'turkey', 'city', 'european', 'former', 'washington', 'sudan', 'died', 'european', 'reports', 'u.n.', 'could']",0.06834732172362748,0.6616640327961726,0.0,4.323382655985377,1500
7,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['police', '(', 'saying', 'darfur', 'chavez', 'chavez', 'talks', 'used', 'soldiers', 'country', 'border', 'south', 'recent', ',', ""'s"", 'meeting', 'britain', 'dead', 'united', 'next', 'coalition', 'city', 'province', 'office', 'korea', 'tehran', 'several', 'public', 'arrested', 'men']",0.06834732172362748,0.6770513427437719,0.16666666666666666,9.354173653019886,1500
8,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['attacks', 'arrested', 'NUMth', 'border', 'iran', 'muslim', 'among', 'chief', 'among', 'democratic', 'african', 'part', 'bank', 'iranian', 'oil', 'told', 'efforts', 'defense', 'force', 'russian', 'president', 'prices', 'flu', 'called', 'iraqi', 'chavez', 'iran', 'minister', 'baghdad', 'left']",0.06834732172362748,0.8109433492510011,0.03333333333333333,5.621838422442345,1500
9,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['rebels', 'troops', 'control', 'power', 'russia', 'visit', 'attack', 'NUM-year-old', ',', 'china', 'bush', 'economy', 'korea', 'washington', 'says', 'may', 'spokesman', 'visit', 'media', 'four', 'british', '""', 'democratic', 'another', ""'s"", 'council', 'hit', 'detained', 'workers', 'suicide']",0.06834732172362748,0.5829243526805318,0.06666666666666667,6.165845332771393,1500
